Year,Population
2010,2454145.322
2011,2500073.632
2012,2546002.082
2013,2591752.232
2014,2637625.342
2015,2702354.782
2016,2768005.952
2017,2833559.842
2018,2899060.012
2019,2964692.082
2020,3031015.512
2021,3102247.172
2022,3170981.762
2023,3239813.542
2024,3308666.402
2025,3370716.282
2026,3439943.062
2027,3506095.342
2028,3572390.472
2029,3638580.752
2030,3696125.422
2031,3756722.342
2032,3817277.912
2033,3877933.282
2034,3938661.522
2035,3989986.452
2036,4048959.862
2037,4105021.662
2038,4161185.312
2039,4217357.332
2040,4268971.932
2041,4322732.992
2042,4375707.262
2043,4428541.292
2044,4481559.412
2045,4531404.532
2046,4581959.212
2047,4632860.97
2048,4683748.16
2049,4734680.98
2050,4793520.3
2051,4857662.36
2052,4919356.61
2053,4981087.01
2054,5042897.12
2055,5097323.98
2056,5160780.2
2057,5220432.92
2058,5280046.74
2059,5339686.07
2060,5358197.28
2061,5443431.94
2062,5501568.61
2063,5559774.61
2064,5618093.01
2065,5650045.01
2066,5723207.62
2067,5780173.84
2068,5837054.64
2069,5894046.91
2070,5937972.81
2071,5990841.71
2072,6047260.81
2073,6103602.2
2074,6160048.18
2075,6207674.69
2076,6268330.48
2077,6324810.98
2078,6381359.13
2079,6437983.13
2080,6485689.23
2081,6545597.23
2082,6602584.43
2083,6659680.23
2084,6716778.53
2085,6766818.13
2086,6825714.13
2087,6883309.83
2088,6941028.83
2089,6998731.63
2090,7047935.43
2091,7103799.83
2092,7161069.2
2093,7218494.55
2094,7275941.65
2095,7324470.65
2096,7380909.95
2097,7437939.14
2098,7494965.64
2099,7552123.64
