Year,Population
2010,2408334.252
2011,2408409.332
2012,2408408.232
2013,2408416.832
2014,2408405.832
2015,2407904.232
2016,2407734.532
2017,2407709.832
2018,2407694.632
2019,2407704.232
2020,2406895.332
2021,2407608.732
2022,2407603.232
2023,2407611.232
2024,2407563.232
2025,2406560.432
2026,2407505.432
2027,2407440.432
2028,2407491.232
2029,2407461.632
2030,2405251.032
2031,2406882.732
2032,2406868.332
2033,2406877.832
2034,2406871.532
2035,2405613.442
2036,2406057.072
2037,2406077.072
2038,2406094.872
2039,2406076.272
2040,2405103.972
2041,2405862.912
2042,2405892.912
2043,2405902.912
2044,2405886.712
2045,2405290.462
2046,2405233.722
2047,2405237.222
2048,2405220.222
2049,2405240.222
2050,2404790.942
2051,2404860.062
2052,2404844.962
2053,2404829.162
2054,2404853.262
2055,2404620.462
2056,2404325.462
2057,2404217.562
2058,2404263.562
2059,2404289.562
2060,2401189.362
2061,2404301.612
2062,2404321.612
2063,2404292.612
2064,2404287.612
2065,2401225.912
2066,2404102.212
2067,2404090.212
2068,2404070.212
2069,2404061.312
2070,2401804.662
2071,2403944.542
2072,2403933.542
2073,2403923.542
2074,2403949.242
2075,2403055.742
2076,2403952.732
2077,2403942.732
2078,2403952.732
2079,2403962.732
2080,2403051.332
2081,2403958.332
2082,2403984.132
2083,2403976.132
2084,2403968.032
2085,2401919.832
2086,2403923.832
2087,2403921.832
2088,2403930.132
2089,2403896.632
2090,2402176.032
2091,2403889.532
2092,2403851.832
2093,2403814.732
2094,2403818.732
2095,2400727.732
2096,2403824.232
2097,2403854.232
2098,2403802.032
2099,2403818.032
