Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Act EvapoTrans,Ag Irrigation,Muni & Domest,Environmental Flows,Outflow Willamette,Ag Irrig Consumed,Muni & Domest Consumed
Simulated Historical (,Ann,161.8056,0.0000,0.0000,0.0000,63.0228,1.0064,1.0349,14.8154,98.7692,0.7533,0.1373
Simulated Historical (,Oct,12.4962,-0.0009,-1.8154,4.5424,7.0209,0.0145,0.0791,1.7283,2.7493,0.0109,0.0056
Simulated Historical (,Nov,25.2675,0.1291,-1.4336,9.3738,11.5477,0.0000,0.0704,0.0000,5.6505,0.0000,0.0000
Simulated Historical (,Dec,26.8100,1.8634,-0.1825,5.2451,6.9039,0.0000,0.0734,0.0000,12.9802,0.0000,0.0000
Simulated Historical (,Jan,22.1481,1.8699,-0.0153,1.3987,2.8749,0.0000,0.0737,0.0000,16.0198,0.0000,0.0000
Simulated Historical (,Feb,18.4076,1.0895,1.5457,0.4782,2.1882,0.0000,0.0664,0.0000,13.1059,0.0000,0.0000
Simulated Historical (,Mar,17.1789,-0.2427,1.6671,-0.1153,2.6853,0.0165,0.0738,0.0000,13.1847,0.0124,0.0001
Simulated Historical (,Apr,13.0913,-0.6760,1.3034,-2.6193,3.7453,0.0736,0.0740,3.4129,11.3378,0.0552,0.0021
Simulated Historical (,May,10.5158,-1.9079,0.8476,-2.4920,5.3177,0.1607,0.0865,2.9627,8.7504,0.1206,0.0097
Simulated Historical (,Jun,6.3867,-1.4268,0.1411,-5.3225,6.3159,0.2661,0.0981,2.0163,6.6790,0.1995,0.0208
Simulated Historical (,Jul,1.9245,-0.5982,-0.1935,-7.8486,6.4847,0.2831,0.1228,1.4814,4.0800,0.2124,0.0388
Simulated Historical (,Aug,2.0983,-0.0905,-0.5711,-3.6227,4.2175,0.1534,0.1205,1.4937,2.1651,0.1151,0.0386
Simulated Historical (,Sep,5.2054,-0.0089,-1.3400,0.9822,3.7012,0.0364,0.0963,1.6707,1.8708,0.0273,0.0215
2070 - 2100 Reference ,Ann,172.1426,0.0000,0.0000,0.0000,58.4325,1.1334,2.2465,14.8154,113.7677,0.8485,0.2985
