Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Act EvapoTrans,Ag Irrigation,Muni & Domest,Environmental Flows,Outflow Willamette,Ag Irrig Consumed,Muni & Domest Consumed,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Ann,161.8056442,0,0,0,61.80316908,1.210277041,0.911519427,14.81538634,100.0086234,0.905661508,0.120867806,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Oct,12.49622667,0.000284613,-1.744016225,7.217842543,3.700302283,0.009407117,0.069849217,1.728269709,3.321813459,0.007055338,0.004968872,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Nov,25.2675253,0.077322916,-1.284679799,16.81146957,3.074380066,0,0.062110896,0,6.589032544,0,3.36E-05,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Dec,26.81001172,1.532219056,-0.19818554,9.022460079,2.753100808,0,0.06475035,0,13.70041732,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jan,22.14807371,1.399532092,-0.141625353,1.312910545,3.047267944,0,0.064848215,0,16.52998848,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Feb,18.4075707,0.720690673,1.563662812,-1.212437216,3.696773732,0,0.058482183,0,13.6388807,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Mar,17.17893938,-0.516503081,1.677265458,-3.400681073,5.955461419,0.010255456,0.064956107,0,13.46339666,0.007691592,6.74E-05,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Apr,13.091253,-0.816730578,1.226219728,-6.634381464,8.097923393,0.064216836,0.065123142,3.412921183,11.21822192,0.048162627,0.001868911,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,May,10.51580127,-1.437440845,0.677296576,-7.601242914,10.67035122,0.17478319,0.07610424,2.962748073,8.206837232,0.131087392,0.008514582,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jun,6.386740352,-0.752645772,-0.017484871,-9.449553833,10.88272107,0.329042185,0.086370382,2.016314661,5.72370376,0.246781639,0.018312237,,,,,,,,,,,,,,,,,,,,,,,,
