Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Evap,Ag,Muni,EF,Outflow,AgCons,MuniCons,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Ann,161.8128668,6.25E-16,-0.03035354,1.960093532,49.5256374,1.64754178,1.116736552,14.81538634,110.2509745,1.23333094,0.130263774,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Win,122.745774,6.645633085,-0.808031297,35.53381891,12.64733987,0.102683114,0.510251273,1.728269709,68.7270134,0.077012335,0.00571126,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Sum,38.77772734,-6.645633085,0.777677757,-33.57372538,36.86082621,1.541758139,0.606485278,13.03773749,41.35858184,1.156318604,0.124552514,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Oct,12.89849845,-0.008211625,-2.212060713,7.973965537,2.725598871,0.028793264,0.091804162,1.728269709,4.419206382,0.021594948,0.005574965,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Nov,25.36644688,0.203459552,-1.725021653,16.71694679,1.717913397,0,0.083449605,0,8.453148787,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Dec,26.86025931,2.057048192,-0.185588473,9.829538011,1.443797889,0,0.083031184,0,13.71546369,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jan,22.17434445,2.510317627,0.015610286,2.400991176,1.60064776,0,0.082896061,0,15.6467776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Feb,18.23341659,1.622676644,1.624290496,-0.055906776,1.984994985,0.001473613,0.077689591,0,13.05736124,0.00110521,0,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Mar,17.2128083,0.260342695,1.67473876,-1.331715828,3.174386971,0.072416236,0.09138067,0,13.43505571,0.054312177,0.000136294,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Apr,12.81688055,-0.333016712,1.381396636,-3.926595673,4.468314486,0.169018925,0.094644633,3.412921183,11.22678181,0.126764194,0.002997454,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,May,10.52229285,-2.341646661,0.966135254,-4.186554565,6.479763685,0.291841628,0.103404741,2.962748073,9.604595133,0.218881221,0.012154817,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jun,6.171852862,-2.204716369,0.228577801,-7.54079106,7.948220666,0.417436787,0.103259851,2.016314661,7.740561824,0.31307759,0.022398122,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Jul,1.818220629,-1.326990308,0.024716755,-10.98728094,8.786410817,0.392509352,0.106775694,1.481374037,5.321364304,0.294382014,0.034107741,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Aug,2.232397121,-0.367883543,-0.066096287,-6.517429752,5.687059722,0.209862014,0.103556207,1.49371882,3.496746981,0.157396511,0.032634027,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated Historical (,Sep,5.216083331,-0.071379492,-1.757052401,-0.415073391,3.491056836,0.061089433,0.094844152,1.670660719,3.96853178,0.045817074,0.020260353,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Ann,172.1826336,4.83E-17,-0.001598648,1.200596076,45.97875083,1.178239097,2.251894833,14.81538634,124.9466903,0.882013536,0.280268415,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Win,134.3207744,1.55987986,-0.245113869,37.88906768,11.43882283,0.105358272,1.088617614,1.728269709,83.67811788,0.079018704,0.012144779,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Sum,37.56969536,-1.55987986,0.24351522,-36.6884716,34.51129412,1.070659776,1.305266352,13.03773749,41.06323748,0.802994832,0.268123637,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Oct,10.35795705,3.91E-05,-2.229445454,5.818054379,2.507293408,0.021358674,0.195113697,1.728269709,4.262015613,0.016019005,0.011851986,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Nov,28.26205567,0.056576299,-1.731252892,19.23047081,1.46869337,0,0.177103944,0,9.237568083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Dec,34.23900895,0.387956448,0.01484084,12.73040046,1.312394531,0,0.176113173,0,19.79341668,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jan,23.59478498,0.40288083,0.048588636,1.633076536,1.5099922,0,0.177554471,0,20.00024678,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Feb,16.0946774,0.457139225,1.843334353,-1.905265814,1.80812544,0.00197609,0.166552716,0,13.8913442,0.001482068,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Mar,21.77229034,0.255287955,1.808820648,0.382331313,2.832323883,0.082023508,0.196179613,0,16.49352654,0.061517631,0.000292792,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Apr,13.3407846,-0.3676442,1.406139889,-4.647307964,3.977305357,0.148930351,0.203486941,3.412921183,12.97229152,0.111697763,0.006445428,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,May,8.554756311,-0.608077387,0.757998219,-7.650623438,6.055887577,0.254918995,0.222574447,2.962748073,9.999571339,0.191189246,0.026164581,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jun,5.198348633,-0.424473199,0.032333227,-9.008340082,7.416915453,0.302719851,0.222398853,2.016314661,7.181913234,0.227039888,0.0482412,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Jul,2.069060964,-0.143861823,-0.055451682,-10.30220039,8.164668163,0.258843395,0.229974248,1.481374037,4.405906695,0.194132546,0.0734611,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Aug,2.771836542,-0.015659448,-0.178415997,-5.414980043,5.452053203,0.06728945,0.222906946,1.49371882,2.928838827,0.050467087,0.070246776,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Reference ,Sep,5.634908309,-0.000163803,-1.719088436,0.334980315,3.444464367,0.037957736,0.203924918,1.670660719,3.574715866,0.028468302,0.043564552,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Ann,154.9497364,1.92E-17,-0.053448258,1.500018308,43.09329796,1.307243769,2.251739781,14.81538634,110.5392213,0.978723915,0.280302767,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Win,124.5621748,0.344417058,-0.123833256,39.02389335,10.52276324,0.145287782,1.088745373,1.728269709,74.79493439,0.108965836,0.012146304,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Sum,30.28704296,-0.344417058,0.070384997,-37.52387504,32.52687752,1.159677439,1.305425401,13.03773749,35.55807254,0.869758079,0.268156463,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Oct,12.05624094,-1.09E-05,-2.160345537,8.088105108,1.983383267,0.028712806,0.195138093,1.728269709,4.145109018,0.021534604,0.011853477,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Nov,24.60101661,0.028192737,-1.734446319,17.21454482,1.266053209,0,0.177125407,0,7.826672163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Dec,28.55489241,0.200150794,-0.108710313,12.16954842,1.104559839,0,0.17613405,0,15.18934367,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jan,21.19544223,0.232917569,0.099050338,2.286241796,1.35341044,0,0.177574045,0,17.22382209,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
