Order,Flux,Annual (cm),Summer (cm),Winter (cm)
1,Basin-wide avg Precip,154.9935482,9.505050364,145.3879526
2,Basin-wide Max SWE,6.021252333,1.746492433,5.972073667
3,Basin-wide Min SWE,0,6.58E-06,0.00010408
3.5,All reservoirs delta,-0.031901335,-2.181303463,2.149402128
3.7,All reservoirs max - min,-0.031901335,2.210532552,6.247761417
4,Basin-wide Max soil water,55.87971935,29.49899594,47.14081033
5,Basin-wide Min soil water, ,17.33153063,20.15103097
,SOIL,,-13.87384581,14.07431382
6,Basin-wide Delta soil water, ,12.16746531,26.98977936
7,Basin-wide AET,27.83179981,12.5901205,15.2260395
9,Irrigation,1.199346331,0.618416236,0.578790088
10,Municipal & domestic,2.355224985,0.965151901,1.586441021
11,Minimum flows at Salem,8.103938966,6.711447371,8.103938966
11.5,Willamette minus min flows at Salem,119.0294255,8.005124194,104.0877658
100,Willamette at Portland,127.1333644,14.71657157,112.1917047
