Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Evap,Ag,Muni,EF,Outflow,AgOut,MuniOut
Simulated Historical (1950 - 2010) Reference scenario,Ann,161.85911,0,-0.00898,1.23821,31.39425,1.41219,1.29968,14.81539,129.14626,0.706095,0.64984
Simulated Historical (1950 - 2010) Reference scenario,Oct,12.90214,-0.00825,-2.22436,7.04717,2.12302,0.0234,0.1053,1.72827,5.96455,0.0117,0.05265
Simulated Historical (1950 - 2010) Reference scenario,Nov,25.37338,0.20363,-1.55324,11.53666,1.6607,0.00001,0.09337,0,13.52563,0.000005,0.046685
Simulated Historical (1950 - 2010) Reference scenario,Dec,26.86699,2.05877,-0.27295,5.02927,1.56447,0,0.09143,0,18.48743,0,0.045715
Simulated Historical (1950 - 2010) Reference scenario,Jan,22.1801,2.51247,-0.05937,-0.2061,1.59999,0,0.09152,0,18.33311,0,0.04576
Simulated Historical (1950 - 2010) Reference scenario,Feb,18.23819,1.62431,1.88795,-1.2397,1.66302,0.00027,0.08712,0,14.30261,0.000135,0.04356
Simulated Historical (1950 - 2010) Reference scenario,Mar,17.21813,0.26074,1.75393,-1.42739,2.29033,0.03274,0.10497,0,14.34053,0.01637,0.052485
Simulated Historical (1950 - 2010) Reference scenario,Apr,12.82141,-0.33325,1.39995,-2.87284,2.78526,0.13286,0.11143,3.41292,11.84229,0.06643,0.055715
Simulated Historical (1950 - 2010) Reference scenario,May,10.52597,-2.34368,0.87621,-1.84462,3.53498,0.27662,0.12404,2.96275,10.30307,0.13831,0.06202
Simulated Historical (1950 - 2010) Reference scenario,Jun,6.17381,-2.20644,0.10609,-4.18566,3.90996,0.39233,0.1251,2.01631,8.54986,0.196165,0.06255
Simulated Historical (1950 - 2010) Reference scenario,Jul,1.81877,-1.32838,-0.0348,-6.71847,4.23379,0.3342,0.12938,1.48137,5.66663,0.1671,0.06469
Simulated Historical (1950 - 2010) Reference scenario,Aug,2.23308,-0.36841,-0.08641,-4.24952,3.49655,0.1686,0.12428,1.49372,3.44087,0.0843,0.06214
Simulated Historical (1950 - 2010) Reference scenario,Sep,5.21768,-0.07152,-1.80197,0.3694,2.53217,0.04854,0.11175,1.67066,4.18959,0.02427,0.055875
2070 - 2100 Reference scenario,Ann,172.23161,0,-0.01073,0.21138,30.58569,1.09192,2.35517,14.81539,141.37907,0.54596,1.177585
2070 - 2100 Reference scenario,Oct,10.36059,0.00004,-2.2491,4.96692,2.0421,0.01902,0.2054,1.72827,5.60063,0.00951,0.1027
2070 - 2100 Reference scenario,Nov,28.2694,0.05661,-1.54038,14.11913,1.57216,0,0.18205,0,14.06188,0,0.091025
2070 - 2100 Reference scenario,Dec,34.24805,0.38864,0.05933,7.51246,1.50811,0,0.17827,0,24.77951,0,0.089135
2070 - 2100 Reference scenario,Jan,23.6012,0.40403,-0.00537,-0.59699,1.54128,0,0.17981,0,22.25826,0,0.089905
2070 - 2100 Reference scenario,Feb,16.09901,0.4585,1.84626,-2.76769,1.61795,0.00058,0.17123,0,14.94399,0.00029,0.085615
2070 - 2100 Reference scenario,Mar,21.77931,0.25665,1.81056,0.24906,2.21424,0.03863,0.20639,0,17.2488,0.019315,0.103195
2070 - 2100 Reference scenario,Apr,13.34548,-0.36766,1.42762,-3.85502,2.66987,0.12073,0.21919,3.41292,13.47067,0.060365,0.109595
2070 - 2100 Reference scenario,May,8.5574,-0.61158,0.65194,-5.36727,3.49727,0.27953,0.24406,2.96275,10.38705,0.139765,0.12203
