Day of year,Daily water as fraction of annual total,Daily Indoor water as fraction of annual total,Daily outdoor water as fraction of annual total,Share of daily fraction that is indoor,Decomposition of urban water use between indoor and oudoor use. Based on 24 years of data from Portland Water Bureau
0,0.23%,0.23%,0.00%,100.00%,1
1,0.23%,0.23%,0.00%,100.00%,1
2,0.23%,0.23%,0.00%,100.00%,1
3,0.23%,0.23%,0.00%,100.00%,1
4,0.23%,0.23%,0.00%,100.00%,1
5,0.23%,0.23%,0.00%,100.00%,1
6,0.23%,0.23%,0.00%,100.00%,1
7,0.23%,0.23%,0.00%,100.00%,1
8,0.23%,0.23%,0.00%,100.00%,1
9,0.23%,0.23%,0.00%,100.00%,1
10,0.23%,0.23%,0.00%,100.00%,1
11,0.23%,0.23%,0.00%,100.00%,1
12,0.23%,0.23%,0.00%,100.00%,1
13,0.23%,0.23%,0.00%,100.00%,1
14,0.23%,0.23%,0.00%,100.00%,1
15,0.23%,0.23%,0.00%,100.00%,1
16,0.23%,0.23%,0.00%,100.00%,1
17,0.23%,0.23%,0.00%,100.00%,1
18,0.23%,0.23%,0.00%,100.00%,1
19,0.23%,0.23%,0.00%,100.00%,1
20,0.23%,0.23%,0.00%,100.00%,1
21,0.23%,0.23%,0.00%,100.00%,1
22,0.23%,0.23%,0.00%,100.00%,1
23,0.23%,0.23%,0.00%,100.00%,1
24,0.23%,0.23%,0.00%,100.00%,1
25,0.23%,0.23%,0.00%,100.00%,1
26,0.23%,0.23%,0.00%,100.00%,1
27,0.23%,0.23%,0.00%,100.00%,1
28,0.23%,0.23%,0.00%,100.00%,1
29,0.23%,0.23%,0.00%,100.00%,1
30,0.23%,0.23%,0.00%,100.00%,1
31,0.23%,0.23%,0.00%,100.00%,1
32,0.23%,0.23%,0.00%,100.00%,1
33,0.23%,0.23%,0.00%,100.00%,1
34,0.23%,0.23%,0.00%,100.00%,1
35,0.23%,0.23%,0.00%,100.00%,1
36,0.23%,0.23%,0.00%,100.00%,1
37,0.23%,0.23%,0.00%,100.00%,1
38,0.23%,0.23%,0.00%,100.00%,1
39,0.23%,0.23%,0.00%,100.00%,1
40,0.23%,0.23%,0.00%,100.00%,1
41,0.23%,0.23%,0.00%,100.00%,1
42,0.23%,0.23%,0.00%,100.00%,1
43,0.23%,0.23%,0.00%,100.00%,1
44,0.23%,0.23%,0.00%,100.00%,1
45,0.23%,0.23%,0.00%,100.00%,1
46,0.23%,0.23%,0.00%,100.00%,1
47,0.23%,0.23%,0.00%,100.00%,1
48,0.23%,0.23%,0.00%,100.00%,1
49,0.23%,0.23%,0.00%,100.00%,1
50,0.23%,0.23%,0.00%,100.00%,1
51,0.23%,0.23%,0.00%,100.00%,1
52,0.23%,0.23%,0.00%,100.00%,1
53,0.23%,0.23%,0.00%,100.00%,1
54,0.23%,0.23%,0.00%,100.00%,1
55,0.23%,0.23%,0.00%,100.00%,1
56,0.23%,0.23%,0.00%,100.00%,1
57,0.23%,0.23%,0.00%,100.00%,1
58,0.23%,0.23%,0.00%,100.00%,1
59,0.23%,0.23%,0.00%,100.00%,1
60,0.23%,0.23%,0.00%,100.00%,1
61,0.23%,0.23%,0.00%,100.00%,1
62,0.23%,0.23%,0.00%,100.00%,1
63,0.23%,0.23%,0.00%,100.00%,1
64,0.23%,0.23%,0.00%,100.00%,1
65,0.23%,0.23%,0.00%,100.00%,1
66,0.23%,0.23%,0.00%,100.00%,1
67,0.23%,0.23%,0.00%,100.00%,1
68,0.23%,0.23%,0.00%,100.00%,1
69,0.23%,0.23%,0.00%,100.00%,1
70,0.23%,0.23%,0.00%,100.00%,1
71,0.23%,0.23%,0.00%,100.00%,1
72,0.23%,0.23%,0.00%,100.00%,1
73,0.23%,0.23%,0.00%,100.00%,1
74,0.23%,0.23%,0.00%,100.00%,1
75,0.23%,0.23%,0.00%,100.00%,1
76,0.23%,0.23%,0.00%,100.00%,1
77,0.23%,0.23%,0.00%,100.00%,1
78,0.23%,0.23%,0.00%,100.00%,1
79,0.23%,0.23%,0.00%,100.00%,1
80,0.23%,0.23%,0.00%,100.00%,1
81,0.23%,0.23%,0.00%,100.00%,1
82,0.23%,0.23%,0.00%,100.00%,1
83,0.23%,0.23%,0.00%,100.00%,1
84,0.23%,0.23%,0.00%,100.00%,1
85,0.23%,0.23%,0.00%,100.00%,1
